driver id,car id,drive name,city,vechicle type,vechicle age,battery capacity(kw),total km driven,current charge percentage,estimated rangekm,batery health,vechicle-status,average energy per km kwh,charging cost,total maintanace cost,max speed,gross revenue,driver earnings
13,100013,Driver_13,Mumbai,SUV,4.5,75,146171.9,31.9,151.4,82.2,Active,0.158,936.19,23050.17,160,697877.56,290492.48
14,100014,Driver_14,Chennai,Sedan,3.5,50,201145.2,19.8,73.3,86.1,Active,0.135,2398.47,15286.94,100,382348.06,251739.77
15,100015,Driver_15,Delhi,Sedan,0.9,75,209826.8,97.2,375.8,95.5,Active,0.194,2328.86,36356.02,100,173477.84,69503.31
16,100016,Driver_16,Mumbai,Hatchback,7.4,60,74886.1,72.7,245.1,93.5,Inactive,0.178,3732.84,14248.96,100,484385.22,272543.49
17,100017,Driver_17,Hyderabad,Sedan,0.9,60,128198.3,86.7,391.1,98.8,Active,0.133,4331.04,6204.81,120,352831.66,240800.14
18,100018,Driver_18,Delhi,SUV,4.8,30,156748.5,47.7,85.7,85.7,Maintenance,0.167,1419.17,23290.85,160,148158.71,87954.45
19,100019,Driver_19,Mumbai,Hatchback,7.5,30,7282.3,65.9,119.8,73.0,Inactive,0.165,1459.19,34170.07,100,709452.68,362429.67
20,100020,Driver_20,Bangalore,Mini EV,6.8,50,154861.1,98.9,287.5,70.2,Inactive,0.172,1847.2,41894.43,120,248349.44,165627.67
21,100021,Driver_21,Delhi,SUV,2.5,75,56604.3,40.9,175.3,95.6,Inactive,0.175,2698.39,43892.29,100,525713.34,341085.14
22,100022,Driver_22,Chennai,Sedan,3.0,40,161092.8,33.6,75.1,86.6,Maintenance,0.179,3024.08,31587.03,120,459192.72,298649.08
23,100023,Driver_23,Delhi,SUV,3.7,30,80523.3,90.9,148.2,95.8,Maintenance,0.184,1445.34,10619.29,160,780377.77,487613.81
24,100024,Driver_24,Bangalore,SUV,7.8,40,220947.0,12.2,27.3,80.0,Maintenance,0.179,4110.06,42118.2,140,169398.38,103397.97
25,100025,Driver_25,Mumbai,Sedan,6.9,40,53895.3,92.7,250.5,94.6,Active,0.148,1503.16,26697.68,140,698264.71,481849.25
26,100026,Driver_26,Hyderabad,Hatchback,5.3,60,171481.9,85.9,353.0,70.8,Maintenance,0.146,1303.56,28721.21,100,497428.44,250557.76
27,100027,Driver_27,Hyderabad,Mini EV,5.0,75,33333.2,91.0,505.6,71.3,Maintenance,0.135,507.61,35662.59,120,323166.1,136050.39
28,100028,Driver_28,Hyderabad,Hatchback,5.5,30,181339.8,37.0,76.6,82.3,Maintenance,0.145,3637.44,18905.36,160,557988.46,374321.91
29,100029,Driver_29,Delhi,Hatchback,3.5,30,79449.4,28.9,47.4,88.2,Maintenance,0.183,2592.45,17384.68,160,645301.55,443934.94
30,100030,Driver_30,Bangalore,Sedan,2.6,75,87121.1,83.7,348.8,90.2,Active,0.18,4129.53,7093.71,160,508455.48,320604.98
31,100031,Driver_31,Mumbai,Mini EV,7.1,75,52636.6,72.7,340.8,77.3,Inactive,0.16,3594.3,44052.88,100,633815.31,295137.58
32,100032,Driver_32,Delhi,Mini EV,0.9,40,229780.2,20.9,63.8,83.9,Inactive,0.131,4945.52,40914.7,160,509489.24,313734.4
33,100033,Driver_33,Delhi,Mini EV,6.7,75,114248.8,24.3,96.4,83.5,Active,0.189,4279.38,30043.82,160,520061.33,250866.79
34,100034,Driver_34,Chennai,Hatchback,2.3,50,83328.8,58.6,223.7,76.9,Inactive,0.131,1187.62,18681.4,140,456958.36,239780.8
35,100035,Driver_35,Bangalore,Mini EV,3.4,75,236785.2,11.8,46.6,87.3,Maintenance,0.19,526.53,30780.72,160,453665.43,281449.6
36,100036,Driver_36,Delhi,SUV,4.2,50,111779.8,12.6,42.9,90.4,Maintenance,0.147,3758.82,44716.78,100,730196.65,421738.1
37,100037,Driver_37,Chennai,Sedan,5.3,40,217378.6,26.4,74.9,79.8,Maintenance,0.141,1970.81,28078.89,160,239203.65,101559.14
38,100038,Driver_38,Chennai,Sedan,8.0,50,59934.4,16.2,41.1,71.2,Active,0.197,4773.25,7358.49,120,228908.71,124084.16
39,100039,Driver_39,Chennai,SUV,4.0,50,192890.0,25.1,74.3,92.4,Active,0.169,4000.06,14820.64,100,746665.38,427644.4
40,100040,Driver_40,Mumbai,Mini EV,7.6,40,23619.1,72.2,169.9,73.1,Maintenance,0.17,4326.32,17797.36,100,310402.82,164052.05
41,100041,Driver_41,Hyderabad,Sedan,4.3,50,8099.8,47.8,150.3,83.0,Maintenance,0.159,3360.13,38550.08,160,182102.72,101344.54
42,100042,Driver_42,Hyderabad,Mini EV,4.0,75,70756.9,86.7,349.6,72.6,Maintenance,0.186,1597.39,28918.75,160,302297.46,165747.26
43,100043,Driver_43,Hyderabad,SUV,4.2,50,200468.9,40.6,106.8,91.0,Maintenance,0.19,3001.06,18165.5,120,590056.0,322508.89
44,100044,Driver_44,Bangalore,Mini EV,5.3,60,114802.8,11.6,48.3,82.1,Active,0.144,1877.93,27300.85,140,369127.86,230254.81
45,100045,Driver_45,Hyderabad,Hatchback,5.8,50,80122.6,30.7,86.2,79.5,Inactive,0.178,2911.39,22665.8,120,603953.49,291679.27
46,100046,Driver_46,Delhi,Hatchback,7.9,40,77580.4,42.5,118.1,91.2,Active,0.144,1734.4,37005.65,120,528402.24,330694.02
47,100047,Driver_47,Chennai,Sedan,4.8,60,122285.0,40.7,124.0,77.6,Maintenance,0.197,1013.39,18010.43,100,163795.26,105376.47
48,100048,Driver_48,Hyderabad,Sedan,8.0,30,141727.9,47.5,84.8,88.6,Inactive,0.168,2211.7,28587.47,160,279035.18,163600.61
49,100049,Driver_49,Delhi,Sedan,7.6,40,158251.2,33.8,107.3,77.2,Inactive,0.126,837.79,15664.94,160,268444.47,126019.34
50,100050,Driver_50,Hyderabad,Mini EV,1.0,40,231358.2,80.9,190.4,89.8,Active,0.17,2413.13,31480.46,140,669973.37,282342.15
51,100051,Driver_51,Bangalore,Hatchback,5.0,75,230692.2,49.5,236.5,79.1,Maintenance,0.157,4742.04,26335.24,100,498527.5,332431.53
52,100052,Driver_52,Hyderabad,Hatchback,0.7,40,240668.2,85.2,205.3,98.5,Inactive,0.166,4196.4,35315.74,120,402875.62,239893.43
53,100053,Driver_53,Hyderabad,SUV,8.0,60,160522.3,54.3,256.5,80.4,Maintenance,0.127,1944.76,9490.5,160,570255.26,277409.42
54,100054,Driver_54,Mumbai,Sedan,3.9,50,66837.7,20.4,56.0,95.9,Active,0.182,3459.47,24880.21,120,438829.54,257500.86
55,100055,Driver_55,Mumbai,Mini EV,6.2,40,70428.8,21.8,61.0,96.4,Maintenance,0.143,1046.42,38538.2,120,582337.12,287223.25
56,100056,Driver_56,Chennai,Mini EV,1.2,30,118054.7,20.6,33.0,85.0,Inactive,0.187,1813.38,28036.55,160,785183.47,371485.43
57,100057,Driver_57,Delhi,SUV,3.4,75,129519.0,89.1,353.6,78.3,Maintenance,0.189,2029.44,25447.46,100,262129.24,128329.76
58,100058,Driver_58,Delhi,Mini EV,7.0,60,136952.2,41.1,150.4,86.3,Maintenance,0.164,4697.84,46984.12,120,478848.23,225091.58
59,100059,Driver_59,Mumbai,Sedan,2.9,60,177780.8,83.0,329.8,89.9,Inactive,0.151,4913.68,13447.79,140,702275.24,465086.77
60,100060,Driver_60,Mumbai,Sedan,4.4,60,8760.2,23.0,72.6,99.1,Active,0.19,2612.71,30894.58,160,537377.49,352266.84
61,100061,Driver_61,Delhi,Mini EV,7.7,60,218733.8,13.2,63.4,88.9,Maintenance,0.125,4988.42,29339.76,100,620277.27,379093.15
62,100062,Driver_62,Chennai,Mini EV,1.7,50,226338.9,14.1,38.3,78.8,Maintenance,0.184,2438.09,19177.2,120,177487.74,75199.87
63,100063,Driver_63,Mumbai,SUV,4.2,75,40063.8,51.5,275.9,77.7,Active,0.14,4545.09,19893.5,120,105396.43,72045.91
64,100064,Driver_64,Delhi,Hatchback,5.3,60,174126.8,51.1,212.9,100.0,Maintenance,0.144,979.94,20296.78,140,794519.03,388177.55
65,100065,Driver_65,Mumbai,Hatchback,0.6,30,228101.2,77.1,123.7,97.1,Active,0.187,3231.79,27519.4,140,558323.34,344082.68
66,100066,Driver_66,Bangalore,Sedan,7.3,30,80688.6,49.7,89.8,92.0,Active,0.166,4593.33,20841.75,120,149119.85,83778.86
67,100067,Driver_67,Hyderabad,Hatchback,6.7,50,228942.0,95.0,241.1,78.9,Maintenance,0.197,4119.05,14006.68,120,695105.45,429064.28
68,100068,Driver_68,Mumbai,Hatchback,1.2,60,8410.1,58.3,224.2,90.2,Inactive,0.156,1679.73,28118.86,140,131259.58,61711.24
69,100069,Driver_69,Chennai,Hatchback,7.4,40,163674.8,67.2,171.2,91.0,Inactive,0.157,2337.33,32151.08,140,796945.53,346540.72
70,100070,Driver_70,Bangalore,SUV,3.4,50,169269.1,76.9,196.2,82.6,Inactive,0.196,3769.7,38160.67,160,511739.16,348860.73
71,100071,Driver_71,Hyderabad,Sedan,5.7,40,113628.9,95.5,203.2,73.0,Inactive,0.188,2153.01,38187.38,100,348604.73,159292.34
72,100072,Driver_72,Chennai,Mini EV,1.2,40,162217.6,63.7,208.9,93.6,Active,0.122,4949.69,23698.34,120,489787.31,315381.83
73,100073,Driver_73,Bangalore,Hatchback,6.3,75,5694.7,87.3,496.0,73.9,Maintenance,0.132,4093.31,29349.14,120,61145.25,38949.24
74,100074,Driver_74,Bangalore,Hatchback,0.6,50,17837.8,76.8,237.0,92.4,Maintenance,0.162,2517.24,26501.39,160,427879.02,292508.66
75,100075,Driver_75,Chennai,Hatchback,3.9,30,19902.2,53.1,104.8,90.6,Maintenance,0.152,3705.81,36607.15,140,506223.07,212464.19
76,100076,Driver_76,Hyderabad,Hatchback,3.4,75,134986.4,50.8,226.8,73.0,Inactive,0.168,1014.86,40015.32,120,372552.46,248279.13
77,100077,Driver_77,Mumbai,Hatchback,6.7,60,106917.5,18.6,72.5,90.0,Maintenance,0.154,4791.17,29329.1,100,673828.92,288377.91
78,100078,Driver_78,Chennai,Hatchback,6.6,75,19695.3,96.1,436.8,90.1,Maintenance,0.165,2091.19,36649.43,100,776298.97,450348.91
79,100079,Driver_79,Hyderabad,Sedan,4.8,40,42908.9,53.4,113.6,80.5,Inactive,0.188,2154.02,33564.31,160,683866.37,473484.44
80,100080,Driver_80,Delhi,Sedan,5.1,50,12093.5,34.6,95.6,97.6,Maintenance,0.181,527.48,35384.38,160,102189.07,63591.31
81,100081,Driver_81,Chennai,Sedan,6.1,40,97167.6,50.8,152.8,79.3,Maintenance,0.133,3995.76,16163.08,100,166684.93,104399.9
82,100082,Driver_82,Chennai,Sedan,2.5,60,123987.1,49.8,210.4,92.6,Active,0.142,2053.28,24097.01,160,445200.58,219272.78
83,100083,Driver_83,Bangalore,Mini EV,7.9,30,6883.3,37.1,81.2,74.1,Maintenance,0.137,1802.51,19206.49,160,181771.1,93441.66
84,100084,Driver_84,Bangalore,Hatchback,1.0,30,111873.8,51.4,122.4,79.4,Maintenance,0.126,3080.3,28175.91,100,353774.23,244054.66
85,100085,Driver_85,Bangalore,Mini EV,6.7,50,26591.8,86.0,309.4,87.7,Inactive,0.139,853.91,40422.5,120,299801.47,135042.52
86,100086,Driver_86,Delhi,Sedan,4.5,40,226951.1,41.4,93.0,94.6,Active,0.178,1563.21,11306.05,120,620161.47,370021.02
87,100087,Driver_87,Bangalore,Mini EV,4.0,75,191169.9,50.4,194.8,86.9,Inactive,0.194,4939.39,36328.21,140,163218.05,68630.88
88,100088,Driver_88,Mumbai,Hatchback,6.5,75,18762.2,55.7,288.1,83.6,Active,0.145,2159.32,26505.12,100,511256.29,282275.0
89,100089,Driver_89,Mumbai,Sedan,3.9,75,164700.2,38.9,184.7,74.5,Active,0.158,2527.35,41854.93,100,428411.75,193542.58
90,100090,Driver_90,Bangalore,Mini EV,7.9,75,133073.3,24.3,121.5,78.5,Maintenance,0.15,3985.09,17365.29,140,99433.89,42592.68
91,100091,Driver_91,Mumbai,Hatchback,2.4,75,218953.5,40.0,179.6,74.2,Maintenance,0.167,1896.04,34004.82,120,496280.92,338166.15
92,100092,Driver_92,Hyderabad,Mini EV,5.3,50,204230.3,70.3,189.0,92.2,Inactive,0.186,4606.02,23548.38,140,63672.9,31369.08
93,100093,Driver_93,Bangalore,Hatchback,7.6,60,52041.3,100.0,454.5,78.9,Active,0.132,2784.6,33937.67,100,546446.93,362249.41
94,100094,Driver_94,Delhi,SUV,5.0,40,44750.6,84.8,186.4,94.3,Active,0.182,3745.32,14030.54,120,777191.45,453241.44
95,100095,Driver_95,Mumbai,SUV,4.5,50,241571.2,80.6,209.9,75.8,Inactive,0.192,4762.09,34631.4,140,633593.03,349028.66
96,100096,Driver_96,Mumbai,SUV,6.6,75,38907.6,32.5,142.5,96.2,Inactive,0.171,4704.32,30962.08,100,263797.26,165911.34
97,100097,Driver_97,Hyderabad,Mini EV,7.3,40,208606.4,18.3,37.9,94.5,Maintenance,0.193,4687.12,21983.75,140,226833.56,158410.94
98,100098,Driver_98,Hyderabad,SUV,0.7,30,210598.2,68.5,112.3,74.1,Maintenance,0.183,4628.28,35247.73,160,386451.11,155189.24
99,100099,Driver_99,Chennai,Sedan,2.4,40,139457.0,75.5,186.4,73.3,Maintenance,0.162,1569.38,11991.43,160,97105.36,63216.2
100,100100,Driver_100,Mumbai,Sedan,5.2,75,64274.8,22.9,111.5,88.4,Active,0.154,3067.99,25268.98,140,100759.49,56205.44
101,100101,Driver_101,Delhi,Sedan,3.4,60,15665.9,44.8,179.2,92.4,Maintenance,0.15,4048.34,30073.6,100,628626.03,390097.71
102,100102,Driver_102,Hyderabad,SUV,0.8,75,87944.1,67.9,273.8,90.5,Inactive,0.186,2653.39,10239.15,160,77737.84,35796.51
103,100103,Driver_103,Bangalore,Sedan,2.9,50,131269.0,99.0,303.7,77.6,Inactive,0.163,1359.97,31646.07,140,254912.45,163093.68
104,100104,Driver_104,Mumbai,Mini EV,6.1,60,88064.0,26.8,91.9,81.0,Inactive,0.175,1700.24,16455.61,160,501839.97,324541.1
105,100105,Driver_105,Delhi,Hatchback,2.9,30,85340.4,36.6,70.4,91.5,Active,0.156,3603.94,10865.33,140,511138.61,271149.91
106,100106,Driver_106,Chennai,Sedan,5.5,60,94011.2,82.1,283.1,98.6,Active,0.174,4319.01,28152.53,120,100425.02,63624.73
107,100107,Driver_107,Hyderabad,Hatchback,3.4,75,12934.4,23.8,114.4,81.1,Maintenance,0.156,3933.88,28729.39,160,285789.08,138209.58
108,100108,Driver_108,Chennai,Sedan,6.0,60,131847.6,92.2,428.8,93.2,Inactive,0.129,2508.23,29927.09,160,200133.76,88202.66
109,100109,Driver_109,Chennai,Mini EV,1.8,60,249329.3,82.9,252.5,99.6,Inactive,0.197,2063.41,19414.64,140,688521.54,422437.39
110,100110,Driver_110,Bangalore,Hatchback,4.3,30,246357.5,81.3,175.5,84.8,Maintenance,0.139,2993.1,32511.84,120,508961.27,216748.61
111,100111,Driver_111,Hyderabad,Mini EV,8.0,60,133795.4,79.2,255.5,72.2,Maintenance,0.186,3390.52,30592.57,140,146250.96,94875.36
112,100112,Driver_112,Delhi,SUV,6.3,40,110991.5,92.0,296.8,73.7,Active,0.124,1868.56,32250.03,120,309517.31,211174.75
113,100113,Driver_113,Hyderabad,Sedan,2.4,75,72240.5,66.3,294.2,72.8,Inactive,0.169,1258.86,25207.97,140,681897.5,388057.92
114,100114,Driver_114,Chennai,Sedan,0.8,75,69840.7,29.0,131.0,88.5,Active,0.166,2741.17,23026.93,140,412208.61,264393.26
115,100115,Driver_115,Mumbai,Hatchback,3.9,30,43729.7,47.4,90.6,80.2,Active,0.157,1906.62,37206.48,140,781530.6,343271.56
116,100116,Driver_116,Hyderabad,Sedan,2.9,60,35017.9,50.5,231.3,71.5,Maintenance,0.131,4388.74,37899.76,120,660108.38,448956.52
117,100117,Driver_117,Hyderabad,SUV,6.2,60,249012.5,52.0,164.2,84.9,Active,0.19,4753.55,39670.67,120,487508.08,202119.6
118,100118,Driver_118,Hyderabad,Mini EV,5.0,60,75008.4,10.7,49.8,74.0,Maintenance,0.129,3773.79,27759.53,160,88368.27,50241.34
119,100119,Driver_119,Hyderabad,Hatchback,1.1,75,115336.8,59.5,239.9,88.7,Inactive,0.186,1034.65,32555.87,140,468373.88,238721.69
120,100120,Driver_120,Bangalore,SUV,5.0,60,127519.1,14.1,64.6,80.0,Maintenance,0.131,2837.0,30837.56,120,295974.39,172825.49
121,100121,Driver_121,Bangalore,Mini EV,7.9,50,150462.5,55.7,173.0,84.7,Inactive,0.161,1849.06,28813.25,100,784923.52,451417.87
122,100122,Driver_122,Chennai,Mini EV,2.5,75,146520.4,74.9,336.4,75.1,Inactive,0.167,3745.32,28362.85,120,73677.89,50429.68
123,100123,Driver_123,Chennai,SUV,0.6,50,107601.2,47.2,173.5,85.1,Inactive,0.136,4642.34,40186.98,100,579331.42,321879.41
124,100124,Driver_124,Delhi,Hatchback,8.0,60,133741.9,38.2,171.0,97.4,Maintenance,0.134,2958.23,40135.82,140,507557.44,232298.51
125,100125,Driver_125,Bangalore,Hatchback,4.7,40,235664.0,98.4,216.3,91.1,Inactive,0.182,3672.45,18790.26,140,265842.03,152073.08
126,100126,Driver_126,Delhi,Mini EV,7.2,60,205502.5,95.9,312.7,78.7,Maintenance,0.184,4798.91,30373.83,140,610503.87,283393.48
127,100127,Driver_127,Delhi,Hatchback,7.5,50,38631.9,65.4,195.8,77.3,Inactive,0.167,4573.33,13807.18,100,359976.02,221459.92
128,100128,Driver_128,Chennai,SUV,0.5,75,244588.1,24.2,105.5,96.4,Maintenance,0.172,2648.52,33779.25,140,264061.51,110311.37
129,100129,Driver_129,Chennai,SUV,4.5,30,228741.3,25.8,40.5,75.3,Active,0.191,4987.27,24413.65,140,707557.38,284990.07
130,100130,Driver_130,Delhi,Sedan,7.5,50,74717.6,99.0,303.7,84.8,Active,0.163,4329.77,17291.11,100,298013.07,184570.15
131,100131,Driver_131,Hyderabad,SUV,0.6,50,198738.1,61.1,168.8,75.3,Inactive,0.181,4536.69,33140.67,100,350624.93,150283.29
132,100132,Driver_132,Bangalore,Mini EV,2.9,40,6673.4,44.5,114.1,78.0,Maintenance,0.156,1858.76,17054.97,140,569576.44,238445.94
133,100133,Driver_133,Chennai,Mini EV,2.8,60,173088.0,93.1,292.5,93.1,Inactive,0.191,1028.37,28667.53,120,214346.45,94327.58
134,100134,Driver_134,Bangalore,Mini EV,6.1,75,96538.1,73.2,284.5,92.7,Inactive,0.193,4215.22,36524.9,100,444129.99,248025.25
135,100135,Driver_135,Hyderabad,Sedan,7.4,30,20130.7,59.3,111.2,87.2,Active,0.16,1240.42,31606.77,120,587688.47,321258.96
136,100136,Driver_136,Delhi,Mini EV,6.6,60,37326.4,47.4,172.4,86.8,Inactive,0.165,4131.12,27828.88,100,609353.36,349460.12
137,100137,Driver_137,Chennai,Mini EV,3.1,30,137585.1,15.4,24.1,99.6,Maintenance,0.192,642.81,32299.69,160,330845.69,220806.44
138,100138,Driver_138,Mumbai,Mini EV,3.3,75,37582.5,87.4,508.1,99.8,Maintenance,0.129,2879.79,23064.63,100,617134.56,428011.95
139,100139,Driver_139,Mumbai,Mini EV,4.5,40,65640.4,41.2,116.1,98.1,Inactive,0.142,3944.7,22097.67,100,230499.72,96853.05
140,100140,Driver_140,Delhi,Sedan,3.8,30,64959.9,14.0,27.1,86.2,Active,0.155,1130.61,28432.71,140,483106.11,305207.82
141,100141,Driver_141,Hyderabad,SUV,2.8,40,246495.4,56.9,148.8,78.3,Inactive,0.153,4768.34,45238.73,160,466888.0,193322.09
142,100142,Driver_142,Hyderabad,Mini EV,6.4,50,175595.6,46.7,162.2,75.5,Inactive,0.144,2630.83,27558.1,120,654332.12,441296.21
143,100143,Driver_143,Delhi,Mini EV,7.8,75,134848.0,45.0,241.1,79.9,Active,0.14,4650.02,21684.52,120,88652.47,45492.05
144,100144,Driver_144,Delhi,Sedan,7.1,40,202139.4,62.9,144.6,76.5,Active,0.174,4412.63,36122.87,100,208855.83,95448.6
145,100145,Driver_145,Chennai,Mini EV,7.4,75,177423.3,45.7,246.6,79.6,Maintenance,0.139,2212.98,23198.62,140,319733.46,212572.74
146,100146,Driver_146,Mumbai,Sedan,6.5,60,191599.1,38.8,171.2,79.4,Active,0.136,3031.36,11290.05,140,464983.67,267463.06
147,100147,Driver_147,Mumbai,Hatchback,1.6,50,61354.6,61.3,218.9,86.5,Inactive,0.14,2019.04,31185.24,160,395621.75,245218.89
148,100148,Driver_148,Hyderabad,SUV,1.5,75,124637.5,92.5,425.6,89.3,Active,0.163,2857.75,21023.55,100,623254.13,326409.2
149,100149,Driver_149,Bangalore,Sedan,5.8,30,58586.3,51.0,122.4,89.1,Inactive,0.125,4607.38,15966.89,160,58888.23,32908.23
150,100150,Driver_150,Hyderabad,Hatchback,0.6,60,202511.1,91.9,427.4,72.9,Active,0.129,1584.36,21843.55,140,250493.55,130023.42
151,100151,Driver_151,Hyderabad,Mini EV,3.9,40,247607.1,30.3,69.3,95.4,Inactive,0.175,4962.54,16235.16,160,334448.02,189234.18
152,100152,Driver_152,Chennai,Sedan,5.8,30,127465.3,49.1,80.5,87.0,Active,0.183,4526.56,26897.35,160,253321.29,171561.28
153,100153,Driver_153,Hyderabad,Sedan,1.8,50,8836.2,28.6,108.3,94.6,Maintenance,0.132,4679.94,24477.09,160,557776.22,313564.35
154,100154,Driver_154,Mumbai,SUV,6.4,30,127694.2,97.7,236.4,83.1,Active,0.124,2032.67,44347.15,160,776690.4,386724.24
155,100155,Driver_155,Hyderabad,Mini EV,4.2,50,140494.2,43.8,162.2,87.6,Maintenance,0.135,885.62,37099.24,100,111528.51,49771.41
156,100156,Driver_156,Bangalore,Mini EV,2.9,30,27422.5,94.9,182.5,92.8,Active,0.156,1096.28,19128.06,160,127469.7,54414.99
157,100157,Driver_157,Delhi,Sedan,5.0,50,216611.0,11.1,36.3,93.4,Inactive,0.153,4555.11,47587.79,120,563986.99,254273.83
158,100158,Driver_158,Hyderabad,Hatchback,2.5,40,20500.5,49.1,127.5,84.5,Active,0.154,2125.06,41125.4,160,495354.8,227201.65
159,100159,Driver_159,Chennai,SUV,2.8,60,86393.2,65.8,214.6,79.9,Maintenance,0.184,2437.77,36876.2,120,275326.46,159954.59
160,100160,Driver_160,Bangalore,Mini EV,2.9,60,242337.7,36.2,123.4,84.7,Inactive,0.176,4018.88,17040.24,160,323761.65,220034.94
161,100161,Driver_161,Bangalore,SUV,5.6,75,11594.4,75.4,290.0,76.3,Maintenance,0.195,4240.77,28052.07,160,554733.24,245055.48
162,100162,Driver_162,Hyderabad,SUV,2.4,40,180232.9,81.0,257.1,99.7,Maintenance,0.126,3120.1,39010.86,160,457733.9,291675.49
163,100163,Driver_163,Hyderabad,Sedan,1.3,40,166112.4,42.0,97.7,71.3,Inactive,0.172,3548.62,31667.86,160,129458.41,55613.0
164,100164,Driver_164,Bangalore,SUV,3.8,60,118450.5,71.2,244.1,74.5,Active,0.175,2672.47,34388.54,100,137052.0,93497.26
165,100165,Driver_165,Bangalore,Hatchback,2.8,60,197146.1,56.9,230.7,72.9,Inactive,0.148,3635.43,17466.67,100,66938.84,33665.11
166,100166,Driver_166,Chennai,SUV,7.5,40,131418.5,59.7,163.6,82.8,Maintenance,0.146,1543.35,15860.55,160,346686.78,215367.55
167,100167,Driver_167,Bangalore,Mini EV,4.9,60,6090.3,29.3,123.8,91.1,Active,0.142,3098.07,33223.43,140,294488.68,158218.5
168,100168,Driver_168,Hyderabad,Mini EV,4.5,50,151257.9,65.0,194.6,80.4,Maintenance,0.167,3278.13,38228.7,140,739011.93,426447.21
169,100169,Driver_169,Bangalore,Hatchback,1.4,50,33652.5,43.6,166.4,81.7,Inactive,0.131,1120.4,15491.59,120,466184.43,254952.82
170,100170,Driver_170,Bangalore,SUV,2.9,60,156755.4,87.9,269.1,84.5,Active,0.196,4168.47,35465.01,160,356850.76,195382.13
171,100171,Driver_171,Mumbai,Mini EV,1.8,75,12560.9,78.5,411.7,78.2,Inactive,0.143,1799.02,33672.27,160,462294.64,200618.91
172,100172,Driver_172,Chennai,Hatchback,6.3,50,137800.6,78.1,215.7,83.2,Active,0.181,4953.99,28187.89,120,273281.7,191240.84
173,100173,Driver_173,Mumbai,Hatchback,3.1,30,112572.1,99.5,164.0,77.1,Inactive,0.182,3145.66,29563.1,160,174486.21,77082.86
174,100174,Driver_174,Bangalore,SUV,6.5,75,90949.8,35.3,162.4,79.7,Inactive,0.163,1816.86,40549.11,100,151691.68,94811.58
175,100175,Driver_175,Mumbai,Sedan,7.9,40,176849.5,21.9,66.4,79.7,Active,0.132,3926.63,29553.3,140,520859.62,266967.48
176,100176,Driver_176,Chennai,Sedan,3.5,50,175202.4,89.0,285.3,84.6,Inactive,0.156,511.13,38224.84,160,526130.41,320511.64
177,100177,Driver_177,Chennai,Mini EV,2.1,60,207087.7,54.5,224.0,78.5,Inactive,0.146,3100.7,27346.16,140,720615.99,453034.13
178,100178,Driver_178,Chennai,Sedan,5.2,60,8988.9,93.6,422.3,83.7,Maintenance,0.133,1410.43,19776.82,140,169233.1,115047.65
179,100179,Driver_179,Hyderabad,Sedan,5.4,50,25193.0,69.8,202.9,71.6,Inactive,0.172,1874.79,22845.42,100,577773.53,231297.7
180,100180,Driver_180,Mumbai,Sedan,1.5,40,132263.8,50.1,165.6,80.3,Active,0.121,4946.7,14724.86,100,221710.15,94625.74
181,100181,Driver_181,Chennai,Sedan,2.9,50,38596.7,79.6,221.1,74.0,Inactive,0.18,1142.84,13316.95,120,380074.57,234403.24
